repeat,fold,threshold,test_case_count,test_leakage_group_count,test_pass,test_fail,test_tp,test_fp,test_tn,test_fn,test_far,test_precision,test_recall,test_f1,test_specificity,test_balanced_accuracy,test_g_mean,test_coverage,test_accepted_high_risk_proxy_failures,test_rejected_technical_pass_cases
4,2,0.78,22,12,16,6,16.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,0,0
4,2,0.7888,22,12,16,6,16.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,0,0
4,3,0.78,21,12,16,5,14.0,0.0,5.0,2.0,0.0,1.0,0.875,0.9333333333333333,1.0,0.9375,0.9354143466934853,0.6666666666666666,0,2
4,3,0.7888,21,12,16,5,14.0,0.0,5.0,2.0,0.0,1.0,0.875,0.9333333333333333,1.0,0.9375,0.9354143466934853,0.6666666666666666,0,2
4,4,0.78,20,12,17,3,15.0,0.0,3.0,2.0,0.0,1.0,0.8823529411764706,0.9375,1.0,0.9411764705882353,0.9393364366277243,0.75,0,2
4,4,0.7888,20,12,17,3,15.0,0.0,3.0,2.0,0.0,1.0,0.8823529411764706,0.9375,1.0,0.9411764705882353,0.9393364366277243,0.75,0,2
4,5,0.78,173,9,68,105,57.0,0.0,105.0,11.0,0.0,1.0,0.8382352941176471,0.9119999999999999,1.0,0.9191176470588236,0.9155519068396106,0.32947976878612717,0,11
4,5,0.7888,173,9,68,105,57.0,0.0,105.0,11.0,0.0,1.0,0.8382352941176471,0.9119999999999999,1.0,0.9191176470588236,0.9155519068396106,0.32947976878612717,0,11
5,1,0.78,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
5,1,0.7888,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
