analysis,n,pass,fail,leakage_groups,group_weighted,status,threshold,tp,fp,tn,fn,technical_far,false_rejection_rate,precision,recall,specificity,f1,balanced_accuracy,g_mean,youden_j,coverage,accepted_high_risk_proxy_failures,fixed_group_cv_f1_std,noise_rate,iteration,flipped_labels,selected_threshold,evaluation_against_original_weak_labels_far,evaluation_against_original_weak_labels_recall,evaluation_against_original_weak_labels_f1,material_decision_change
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,188,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,189,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,190,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,191,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,192,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,193,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,194,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,195,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,196,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,197,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,198,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,199,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.05,200,12,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,1,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,2,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,3,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,4,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,5,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,6,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,7,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,8,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,9,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,10,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,11,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,12,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,13,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,14,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,15,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,16,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,17,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,18,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,19,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,20,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,21,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,22,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,23,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,24,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,25,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,26,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,27,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,28,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,29,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,30,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,31,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,32,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,33,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,34,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,35,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,36,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,37,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,38,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,39,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,40,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,41,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,42,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,43,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,44,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,45,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,46,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,47,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,48,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,49,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,50,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,51,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,52,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,53,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,54,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,55,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,56,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,57,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,58,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,59,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,60,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,61,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,62,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,63,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,64,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,65,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,66,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,67,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,68,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,69,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,70,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,71,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,72,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,73,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,74,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,75,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,76,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,77,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,78,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,79,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,80,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,81,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,82,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,83,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,84,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,85,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,86,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,87,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,88,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,89,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,90,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,91,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,92,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,93,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,94,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,95,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,96,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,97,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,98,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,99,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,100,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,101,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,102,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,103,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,104,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,105,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,106,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,107,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,108,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,109,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,110,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,111,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,112,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,113,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,114,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,115,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,116,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,117,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,118,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,119,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,120,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,121,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,122,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,123,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,124,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,125,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,126,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,127,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,128,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,129,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,130,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,131,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,132,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,133,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,134,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,135,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,136,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,137,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,138,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,139,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,140,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,141,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,142,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,143,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,144,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,145,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,146,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,147,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,148,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,149,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,150,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,151,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,152,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,153,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,154,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,155,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,156,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,157,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,158,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,159,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,160,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,161,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,162,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,163,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,164,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,165,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,166,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,167,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,168,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,169,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,170,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,171,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,172,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,173,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,174,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,175,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,176,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,177,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,178,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,179,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,180,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,181,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,182,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,183,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,184,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,185,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,186,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,187,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,188,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,189,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,190,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,191,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,192,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,193,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,194,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,195,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,196,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,197,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,198,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,199,24,,,,,
weak_label_noise,,,,,,NO_VALID_THRESHOLD,,,,,,,,,,,,,,,,,,0.1,200,24,,,,,
