model,case_id,correct_rank,top5_candidate_ids,run_1_ms,run_2_ms,run_3_ms,rankings_stable,mandatory_pass
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2025_1301_mixed,1,policy_test_phv_2025_1301|policy_test_kfz_2026_1001|policy_test_kfz_2026_1101|policy_test_kfz_2026_1003|policy_test_phv_2026_1002,1188.591,1136.772,1260.752,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1401_en,1,policy_test_kfz_2026_1401|policy_test_hh_2026_1402|policy_test_kfz_2026_1101|policy_test_kfz_2026_1701|policy_test_kfz_2026_1001,1211.384,1051.282,1163.976,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1401_de,1,policy_test_kfz_2026_1401|policy_test_hh_2026_1402|policy_test_kfz_2026_1701|policy_test_kfz_2026_1101|policy_test_kfz_2026_1001,1044.442,1231.420,1034.946,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1401_mixed,1,policy_test_kfz_2026_1401|policy_test_hh_2026_1402|policy_test_kfz_2026_1001|policy_test_kfz_2026_1101|policy_test_kfz_2026_1701,1127.335,927.303,1246.198,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1402_en,1,policy_test_hh_2026_1402|policy_test_kfz_2026_1401|policy_test_hh_2026_1201|policy_test_hh_2026_1801|policy_test_kfz_2026_1001,762.143,568.251,468.006,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1402_de,1,policy_test_hh_2026_1402|policy_test_kfz_2026_1401|policy_test_rs_2026_1501|policy_test_hh_2026_1801|policy_test_rs_2026_1202,456.548,442.951,446.536,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1402_mixed,1,policy_test_hh_2026_1402|policy_test_kfz_2026_1401|policy_test_kfz_2026_1001|policy_test_rs_2026_1202|policy_test_rs_2026_1501,414.176,425.612,413.689,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_rs_2026_1501_en,1,policy_test_rs_2026_1501|policy_test_rs_2026_1202|policy_test_rs_2026_1702|policy_test_phv_2026_1002|policy_test_kfz_2026_1001,421.661,408.678,404.333,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_rs_2026_1501_de,1,policy_test_rs_2026_1501|policy_test_kfz_2026_1001|policy_test_phv_2026_1002|policy_test_hh_2026_1801|policy_test_hh_2026_1201,492.765,512.554,497.154,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_rs_2026_1501_mixed,1,policy_test_rs_2026_1501|policy_test_kfz_2026_1001|policy_test_phv_2026_1002|policy_test_hh_2026_1801|policy_test_rs_2026_1702,416.294,432.340,436.973,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1601_en,1,policy_test_phv_2026_1601|policy_test_phv_2026_1902|policy_test_phv_2026_1002|policy_test_kfz_2026_1401|policy_test_phv_2025_1301,444.199,508.319,498.823,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1601_de,1,policy_test_phv_2026_1601|policy_test_kfz_2026_1401|policy_test_kfz_2026_1003|policy_test_kfz_2026_1001|policy_test_phv_2026_1902,534.248,564.396,535.079,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1601_mixed,1,policy_test_phv_2026_1601|policy_test_kfz_2026_1001|policy_test_kfz_2026_1101|policy_test_kfz_2026_1003|policy_test_phv_2026_1002,481.902,486.109,488.560,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1701_en,1,policy_test_kfz_2026_1701|policy_test_rs_2026_1702|policy_test_kfz_2026_1901|policy_test_kfz_2026_1001|policy_test_kfz_2026_1101,450.135,463.683,442.667,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1701_de,1,policy_test_kfz_2026_1701|policy_test_rs_2026_1702|policy_test_kfz_2026_1101|policy_test_kfz_2026_1003|policy_test_kfz_2026_1001,498.612,503.524,465.865,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1701_mixed,1,policy_test_kfz_2026_1701|policy_test_rs_2026_1702|policy_test_kfz_2026_1001|policy_test_kfz_2026_1101|policy_test_kfz_2026_1003,414.606,408.356,438.367,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_rs_2026_1702_en,1,policy_test_rs_2026_1702|policy_test_kfz_2026_1701|policy_test_rs_2026_1501|policy_test_rs_2026_1202|policy_test_kfz_2026_1001,417.729,423.550,426.694,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_rs_2026_1702_de,1,policy_test_rs_2026_1702|policy_test_kfz_2026_1701|policy_test_rs_2026_1501|policy_test_kfz_2026_1001|policy_test_hh_2026_1801,463.369,453.568,439.808,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_rs_2026_1702_mixed,1,policy_test_rs_2026_1702|policy_test_kfz_2026_1701|policy_test_kfz_2026_1001|policy_test_rs_2026_1501|policy_test_hh_2026_1801,431.119,400.701,400.079,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1801_en,1,policy_test_hh_2026_1801|policy_test_hh_2026_1402|policy_test_hh_2026_1201|policy_test_rs_2026_1202|policy_test_rs_2026_1501,394.587,472.747,426.204,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1801_de,1,policy_test_hh_2026_1801|policy_test_kfz_2026_1001|policy_test_hh_2026_1201|policy_test_rs_2026_1702|policy_test_rs_2026_1202,463.823,470.247,474.392,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_hh_2026_1801_mixed,1,policy_test_hh_2026_1801|policy_test_rs_2026_1202|policy_test_kfz_2026_1001|policy_test_rs_2026_1702|policy_test_rs_2026_1501,415.431,421.102,435.656,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1901_en,1,policy_test_kfz_2026_1901|policy_test_phv_2026_1902|policy_test_kfz_2026_1701|policy_test_kfz_2026_1101|policy_test_kfz_2026_1003,411.455,428.803,429.808,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1901_de,1,policy_test_kfz_2026_1901|policy_test_phv_2026_1902|policy_test_kfz_2026_1701|policy_test_kfz_2026_1003|policy_test_kfz_2026_1101,437.023,427.464,442.883,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_kfz_2026_1901_mixed,1,policy_test_kfz_2026_1901|policy_test_phv_2026_1902|policy_test_kfz_2026_1001|policy_test_kfz_2026_1003|policy_test_kfz_2026_1101,391.356,395.878,392.639,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1902_en,1,policy_test_phv_2026_1902|policy_test_kfz_2026_1901|policy_test_phv_2026_1002|policy_test_phv_2026_1601|policy_test_kfz_2026_1401,389.630,384.019,395.890,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1902_de,1,policy_test_phv_2026_1902|policy_test_kfz_2026_1901|policy_test_kfz_2026_1003|policy_test_kfz_2026_1001|policy_test_phv_2026_1002,509.645,462.808,443.328,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,policy_test_phv_2026_1902_mixed,1,policy_test_phv_2026_1902|policy_test_kfz_2026_1901|policy_test_kfz_2026_1003|policy_test_kfz_2026_1001|policy_test_phv_2026_1002,422.701,442.885,405.446,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2001_en,1,claim_test_clm_2026_2001|claim_test_clm_2026_2602|claim_test_clm_2026_2501|claim_test_clm_2026_2301|claim_test_clm_2026_2601,341.125,334.505,331.170,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2001_de,1,claim_test_clm_2026_2001|claim_test_clm_2026_2501|claim_test_clm_2026_2602|claim_test_clm_2026_2101|claim_test_clm_2026_2301,340.613,362.476,356.001,True,True
