threshold,tp,fp,tn,fn,false_acceptance_rate,false_rejection_rate,precision,recall,specificity,f1,balanced_accuracy,g_mean,coverage,accepted_critical_failures_confirmed,accepted_failures_worst_case_critical,accepted_fail_case_ids,far_ci95_lower_two_sided,far_ci95_upper_two_sided,far_upper_95_one_sided,precision_ci95_lower,precision_ci95_upper,fixed_cv_f1_std,fixed_cv_recall_std,fixed_cv_far_compliance_rate
0.01,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.011,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.012,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.013,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.014,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.015,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.016,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.017,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.018,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.019,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.02,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.021,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.022,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.023,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.024,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.025,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.026,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.027,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.028,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.029,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.03,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.031,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.032,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.033,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.034,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.035,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.036,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.037,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.038,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.039,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.04,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.041,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.042,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
0.043,14,14,0,0,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.0,1.0,,14,unsupported_wrong_motor_deductible;unsupported_wrong_contract_identifier;unsupported_wrong_coverage_type;unsupported_reversed_coverage;unsupported_zero_deductible;unsupported_rental_car_extension;unsupported_wrong_policy_dates;unsupported_wrong_home_deductible;unsupported_wrong_baggage_limit;unsupported_wrong_dental_percentage;unsupported_mixed_extra_claim;unsupported_cancellation_claim;unsupported_liability_distractor_answer;unsupported_information_missing,0.7683642383498835,1.0,1.0,0.30647096153231795,0.693529038467682,0.056544486128751924,0.0,0.0
