threshold,n,leakage_groups,tp,fp,tn,fn,technical_far,false_rejection_rate,precision,recall,specificity,f1,balanced_accuracy,g_mean,youden_j,coverage,accepted_high_risk_proxy_failures,group_weighted,fixed_group_cv_f1_std,is_selected
0.03,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.031,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.032,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.033,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.034,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.035,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.036,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.037,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.038,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.039,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.04,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.041,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.042,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.043,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.044,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.045,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.046,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.047,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.048,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.049,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.05,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.051,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.052,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.053,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.054,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.055,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.056,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.056667,237,46,118.0,119.0,0.0,0.0,1.0,0.0,0.4978902953586498,1.0,0.0,0.6647887323943662,0.5,0.0,0.0,1.0,113,False,0.15357712732123305,False
0.057,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.058,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.059,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.06,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.061,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.062,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.063,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.064,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.064762,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
